baily,constellation,member_type,seq,latin,english
377,Ari,unformed,3,Borealior reliquarum trium minusque splendidarum,"The more northern of the remaining three, fainter ones"
378,Ari,unformed,4,Media de tribus,The middle of the three
379,Ari,unformed,5,Australis ipsarum,The southern of them
380,Tau,figure,1,Borealis de quatuor quae sunt in abscissione,The northern of the four at the cut-off
381,Tau,figure,2,Sequens ipsam,The one following it
382,Tau,figure,3,Quae istam adhuc sequitur,The one following it still
383,Tau,figure,4,Australissima de quatuor,The southernmost of the four
384,Tau,figure,5,Quae istas sequitur et est in dextra scapula,"The one following these, in the right shoulder-blade"
385,Tau,figure,6,Quae in pectore,The one in the chest
386,Tau,figure,7,Quae in genu dextro,The one in the right knee
387,Tau,figure,8,Quae in talo dextro,The one in the right ankle
388,Tau,figure,9,Quae in genu sinistro,The one in the left knee
389,Tau,figure,10,Quae in cubito sinistro,The one in the left elbow
390,Tau,figure,11,"De Hyades, sic enim vocantur quae in facie sunt, ea quae in naribus",Of the Hyades — for so are called those in the face — the one in the nostrils
391,Tau,figure,12,Quae inter hanc et borealem oculum est,The one between it and the northern eye
392,Tau,figure,13,Quae inter istam et australem oculum,The one between it and the southern eye
393,Tau,figure,14,"Fulgens de Hyades, et est in oculo australi subrufa","The bright one of the Hyades, in the southern eye, reddish"
394,Tau,figure,15,Reliqua quae est in oculo boreali,"The remaining one, in the northern eye"
395,Tau,figure,16,Quae est in radice australis cornu et in aure,"The one at the root of the southern horn, and in the ear"
396,Tau,figure,17,Australior duarum quae sunt in cornu australi,The more southern of the two in the southern horn
397,Tau,figure,18,Borealior ipsarum,The more northern of them
398,Tau,figure,19,Quae est in extremitate cornu australis,The one at the tip of the southern horn
399,Tau,figure,20,Quae est in radice cornu borealis,The one at the root of the northern horn
400,Tau,figure,21,"Quae est in extremitate borealis cornu, eademque in dextro pede Aurigae","The one at the tip of the northern horn, the same as the one in Auriga's right foot"
401,Tau,figure,22,Borealior duarum propinquarum quae sunt in aure boreali,The more northern of the two close-set stars in the northern ear
402,Tau,figure,23,Australior ipsarum,The more southern of them
403,Tau,figure,24,Praecedens duarum parvarum quae in collo sunt,The preceding of the two small stars in the neck
404,Tau,figure,25,Quae ipsam sequitur,The one following it
405,Tau,figure,26,Australior antecedentis lateris quadrilaterae figurae quae in collo est,The more southern one of the preceding side of the quadrilateral figure in the neck
406,Tau,figure,27,Borealior antecedentis lateris,The more northern one of the preceding side
407,Tau,figure,28,Australior sequentis lateris,The more southern one of the following side
408,Tau,figure,29,Borealior sequentis lateris,The more northern one of the following side
409,Tau,figure,30,Borealis terminus antecedentis Pleiadum lateris,The northern end of the preceding side of the Pleiades
410,Tau,figure,31,Australis terminus antecedentis lateris,The southern end of the preceding side
411,Tau,figure,32,Sequens et angustissimus Pleiadum terminus,The following and narrowest end of the Pleiades
412,Tau,figure,33,Exterior et parva Pleiadum a septentrione,"The small outer one of the Pleiades, to the north"
413,Tau,unformed,1,Quae sub pede dextro est et scapula,The one below the right foot and the shoulder-blade
414,Tau,unformed,2,Praecedens de tribus quae supra cornu australe,The preceding of the three above the southern horn
415,Tau,unformed,3,Media de tribus,The middle of the three
416,Tau,unformed,4,Sequens ipsarum,The following of them
417,Tau,unformed,5,Borealior de duabus quae sunt sub extremitate cornu australis,The more northern of the two below the tip of the southern horn
418,Tau,unformed,6,Australior ipsarum,The more southern of them
419,Tau,unformed,7,Praecedens de quinque quae sub cornu boreali sequuntur,The preceding of the five that follow below the northern horn
420,Tau,unformed,8,Quae istam sequitur,The one following it
421,Tau,unformed,9,Quae istam adhuc sequitur,The one following it still
422,Tau,unformed,10,Borealior reliquarum duarum sequentium,The more northern of the remaining two followers
423,Tau,unformed,11,Australior ipsarum,The more southern of them
424,Gem,figure,1,Quae est in capite praecedentis Geminorum,The one in the head of the preceding Twin
425,Gem,figure,2,"Quae est in capite sequentis Geminorum, subrufa","The one in the head of the following Twin, reddish"
426,Gem,figure,3,Quae est in sinistro praecedentis Geminorum cubito,The one in the left elbow of the preceding Twin
427,Gem,figure,4,Quae in eodem brachio,The one in the same arm
428,Gem,figure,5,Quae ipsam sequitur et est in occipite,"The one following it, at the back of the head"
429,Gem,figure,6,Quae istam sequitur et est in dextro humero ejusdem,"The one following it, in the right shoulder of the same Twin"
430,Gem,figure,7,Quae in humero sequenti sequentis Geminorum,The one in the following shoulder of the following Twin
431,Gem,figure,8,Quae in dextro latere antecedentis Geminorum,The one in the right side of the preceding Twin
432,Gem,figure,9,Quae in sinistro latere sequentis Geminorum,The one in the left side of the following Twin
433,Gem,figure,10,Quae in sinistro genu praecedentis Geminorum,The one in the left knee of the preceding Twin
434,Gem,figure,11,Quae sub sinistro genu sequentis Geminorum,The one below the left knee of the following Twin
435,Gem,figure,12,Quae in sinistra sequentis Geminorum axilla,The one in the left armpit of the following Twin
436,Gem,figure,13,Quae supra dextrum poplitem ejusdem Geminorum,The one above the right knee-hollow of the same Twin
437,Gem,figure,14,Quae in extremo pede praecedentis Geminorum,The one in the far foot of the preceding Twin
438,Gem,figure,15,Quae hanc in eodem pede sequitur,"The one following it, in the same foot"
439,Gem,figure,16,Quae in extremitate dextri pedis praecedentis Geminorum,The one at the tip of the right foot of the preceding Twin
440,Gem,figure,17,Quae in extremitate sinistri pedis sequentis Geminorum,The one at the tip of the left foot of the following Twin
441,Gem,figure,18,Quae in extremitate dextri pedis sequentis Geminorum,The one at the tip of the right foot of the following Twin
442,Gem,unformed,1,Praecedens extremitatem pedum antecedentis Geminorum,The one preceding the foot-tips of the preceding Twin
443,Gem,unformed,2,Praecedens eam quae est in genu antecedentis Geminorum et est splendida,The bright one preceding the knee of the preceding Twin
444,Gem,unformed,3,Quae praecedit genu sinistrum sequentis Geminorum,The one preceding the left knee of the following Twin
445,Gem,unformed,4,Borealis trium sequentium dextram sequentis Geminorum per rectam lineam,The northern of the three in a straight line following the right hand of the following Twin
446,Gem,unformed,5,Media de tribus,The middle of the three
447,Gem,unformed,6,Australis ipsarum et ad cubitum manus,"The southern of them, at the elbow of the hand"
448,Gem,unformed,7,Quae dictas tres sequitur et est splendida,The bright one following the said three
449,Cnc,figure,1,Media nubiformis convolutionis quae in pectore dicta Praesepe,"The middle of the cloud-like convolution in the chest, called the Manger"
450,Cnc,figure,2,"Borealior duarum praecedentium quadrilaterae figurae, quae est in nebula","The more northern of the two preceding stars of the quadrilateral, at the nebula"
451,Cnc,figure,3,Australior praecedentium duarum,The more southern of the preceding two
452,Cnc,figure,4,Borealis duarum sequentium quadrilaterae quae vocantur Aselli,"The northern of the two following stars of the quadrilateral, which are called the Asses"
453,Cnc,figure,5,Australis ipsarum,The southern of them
454,Cnc,figure,6,Quae in australi forfice,The one in the southern claw
455,Cnc,figure,7,Quae in boreali forfice,The one in the northern claw
456,Cnc,figure,8,Quae in posteriore pede boreali,The one in the northern hind foot
457,Cnc,figure,9,Quae in posteriore pede australi,The one in the southern hind foot
458,Cnc,unformed,1,Quae super cubitum australis forficis est,The one above the elbow of the southern claw
459,Cnc,unformed,2,Quae sequitur extremitatem australis forficis,The one following the tip of the southern claw
460,Cnc,unformed,3,Praecedens duarum sequentium quae sunt super nebulam,The preceding of the two following stars above the nebula
461,Cnc,unformed,4,Sequens ipsarum,The following of them
462,Leo,figure,1,Quae in extremitate naris,The one at the tip of the nostrils
463,Leo,figure,2,Quae in apertione oris,The one at the opening of the mouth
464,Leo,figure,3,Borealior duarum quae sunt in capite,The more northern of the two in the head
465,Leo,figure,4,Australior ipsarum,The more southern of them
466,Leo,figure,5,Borealis de tribus quae in collo sunt,The northern of the three in the neck
467,Leo,figure,6,Sequens et media de tribus,The following and middle of the three
468,Leo,figure,7,Australis ipsarum,The southern of them
469,Leo,figure,8,Quae est in corde et vocatur Regulus,"The one in the heart, called Regulus"
470,Leo,figure,9,Australior ipsa et est quasi in pectore,"The one more southern than it, almost in the chest"
471,Leo,figure,10,Parum antecedens illam quae in corde est,The one a little ahead of the one in the heart
472,Leo,figure,11,Quae in genu dextro,The one in the right knee
473,Leo,figure,12,Quae in anteriore dextrae vola,The one in the forward right paw
474,Leo,figure,13,Quae in anteriore sinistrae vola,The one in the forward left paw
475,Leo,figure,14,Quae in genu sinistro,The one in the left knee
476,Leo,figure,15,Quae in axilla sinistra,The one in the left armpit
477,Leo,figure,16,Praecedens de tribus quae sunt in ventre,The preceding of the three in the belly
478,Leo,figure,17,Borealis reliquarum et sequentium duarum,"The northern of the remaining, following two"
479,Leo,figure,18,Australior ipsarum,The more southern of them
480,Leo,figure,19,Praecedens de duabus quae sunt in lumbis,The preceding of the two in the loins
481,Leo,figure,20,Sequens ipsarum,The following of them
482,Leo,figure,21,Borealior duarum quae sunt in vertebris,The more northern of the two in the rump
483,Leo,figure,22,Australior ipsarum,The more southern of them
484,Leo,figure,23,Quae in posterioribus cruribus,The one in the hind legs
485,Leo,figure,24,Quae in posterioribus poplitibus,The one in the hind knee-hollows
486,Leo,figure,25,Australior hac et quasi in cubitis,"The one more southern than it, almost at the shanks"
487,Leo,figure,26,Quae in posterioribus volis,The one in the hind paws
488,Leo,figure,27,Quae in extremitate caudae,The one at the tip of the tail
489,Leo,unformed,1,Praecedens de duabus quae sunt super scapulam,The preceding of the two above the shoulder-blade
490,Leo,unformed,2,Sequens ipsarum,The following of them
491,Leo,unformed,3,"Borealis de tribus, quae sunt sub latere",The northern of the three below the flank
492,Leo,unformed,4,Media ipsarum,The middle of them
493,Leo,unformed,5,Australis ipsarum,The southern of them
494,Leo,unformed,6,"Borealissimum convolutionis nubilosae quae Coma Berenices vocatur, et est inter extrema Leonis et Ursae","The northernmost of the nebulous cluster called Berenice's Hair, between the edges of Leo and the Bear"
495,Leo,unformed,7,Praecedens de australibus eminentibus Comae Berenices,The preceding of the southern outliers of Berenice's Hair
496,Leo,unformed,8,Sequens de ipsis in figura folii edere,"The following of them, in the shape of an ivy leaf"
497,Vir,figure,1,Australis de duabus quae sunt in extremo craneo Virginis,The southern of the two at the crown of the Virgin's head
498,Vir,figure,2,Borealior ipsarum,The more northern of them
499,Vir,figure,3,Borealior de sequentibus ipsas in facie,"The more northern of those following them, in the face"
500,Vir,figure,4,Australior ipsarum,The more southern of them
501,Vir,figure,5,Quae est in extremitate australis alae atque sinistrae,"The one at the tip of the southern, left wing"
502,Vir,figure,6,"Praecedens de quatuor, quae sunt in ala sinistra",The preceding of the four in the left wing
503,Vir,figure,7,Quae ipsam sequitur,The one following it
504,Vir,figure,8,Quae adhuc istam sequitur,The one following it still
505,Vir,figure,9,Ultima et sequens de quatuor,The last and following of the four
506,Vir,figure,10,Quae est sub cingulo in dextro latere,"The one below the girdle, in the right side"
507,Vir,figure,11,Praecedens de tribus quae in dextra borealique ala sunt,"The preceding of the three in the right, northern wing"
508,Vir,figure,12,Australis reliquarum duarum,The southern of the remaining two
509,Vir,figure,13,Borealis ipsarum et vocatur Previndemiatrix,"The northern of them, called Previndemiatrix"
510,Vir,figure,14,Quae in extremitate manus sinistrae et vocatur Spica,"The one at the tip of the left hand, called Spica"
511,Vir,figure,15,Quae sub cingulo juxta dextrum vertebrum,"The one below the girdle, by the right hip"
512,Vir,figure,16,Borealis antecedentis lateris quadrilaterae figurae quae est in crure sinistro,The northern one of the preceding side of the quadrilateral figure in the left leg
513,Vir,figure,17,Australis antecedentis lateris,The southern one of the preceding side
514,Vir,figure,18,"Borealior de duabus, quae in sequenti latere sunt",The more northern of the two on the following side
515,Vir,figure,19,Australior lateris sequentis,The more southern one of the following side
516,Vir,figure,20,Quae in genu sinistro,The one in the left knee
517,Vir,figure,21,Quae in dextro crure posteriore,The one in the right hind leg
518,Vir,figure,22,Media de tribus quae sunt in syrmate,The middle of the three in the train of the robe
519,Vir,figure,23,Australis ipsarum,The southern of them
520,Vir,figure,24,Borealis ipsarum,The northern of them
521,Vir,figure,25,Quae in extremitate sinistri pedis atque australis,"The one at the tip of the left, southern foot"
522,Vir,figure,26,Quae in extremitate dextri pedis atque borealis,"The one at the tip of the right, northern foot"
523,Vir,unformed,1,Praecedens de tribus quae ad rectam lineam sub sinistro cubito sunt,The preceding of the three in a straight line below the left elbow
524,Vir,unformed,2,Media ipsarum,The middle of them
525,Vir,unformed,3,Sequens ipsarum,The following of them
526,Vir,unformed,4,Praecedens de tribus quae quasi ad rectam lineam sub Spica sunt,The preceding of the three almost in a straight line below Spica
527,Vir,unformed,5,Media ipsarum et duplex,"The middle of them, and it is double"
528,Vir,unformed,6,Sequens trium,The following of the three
529,Lib,figure,1,Fulgens earum quae sunt in extremitate australis forficis,The bright one of those at the tip of the southern claw
530,Lib,figure,2,Borealior ipsa et minus splendida,"The one more northern than it, and less brilliant"
531,Lib,figure,3,Fulgens earum quae sunt in extremitate borealis forficis,The bright one of those at the tip of the northern claw
532,Lib,figure,4,Praecedens ipsas et obscura,"The one preceding them, and dim"
533,Lib,figure,5,Quae est in medio australis forficis,The one in the middle of the southern claw
534,Lib,figure,6,Quae istam praecedit in eadem forfice,The one preceding it in the same claw
535,Lib,figure,7,Quae est in medio borealis forficis,The one in the middle of the northern claw
536,Lib,figure,8,Quae istam in eadem forfice sequitur,The one following it in the same claw
537,Lib,unformed,1,Antecedens de tribus borealibus quae sunt in forfice boreali,The preceding of the three northern ones at the northern claw
538,Lib,unformed,2,Australis sequentium duarum,The southern of the following two
539,Lib,unformed,3,Borealis ipsarum,The northern of them
540,Lib,unformed,4,Sequens de tribus intermediis,The following of the three in between
541,Lib,unformed,5,Borealis reliquarum duarum praecedentium,The northern of the remaining two preceding ones
542,Lib,unformed,6,Australis ipsarum,The southern of them
543,Lib,unformed,7,"Praecedens de tribus australioribus, quae sunt in forfice australi","The preceding of the three more southern ones, at the southern claw"
544,Lib,unformed,8,Borealior duarum reliquarum sequentium,The more northern of the remaining two followers
545,Lib,unformed,9,Australior ipsarum,The more southern of them
546,Sco,figure,1,"Borealis de tribus splendidis, quae sunt in fronte",The northern of the three bright ones in the brow
547,Sco,figure,2,Media ipsarum,The middle of them
548,Sco,figure,3,Australior de tribus,The more southern of the three
549,Sco,figure,4,Australior adhuc ista in altero pedum,"The one more southern still, in one of the feet"
550,Sco,figure,5,"Borealior duarum, quae borealissimae splendidarum adhaeret",The more northern of the two adjoining the northernmost of the bright ones
551,Sco,figure,6,Australis ipsarum,The southern of them
552,Sco,figure,7,"Praecedens de tribus splendidis, quae sunt in corpore",The preceding of the three bright ones in the body
553,Sco,figure,8,Media ipsarum et subrufa quae vocatur Antares,"The middle of them, reddish, which is called Antares"
554,Sco,figure,9,Sequens de tribus,The following of the three
555,Sco,figure,10,Praecedens duarum quae sub ipsis in extremo pede sunt,"The preceding of the two below them, at the end of the foot"
556,Sco,figure,11,Sequens ipsarum,The following of them
557,Sco,figure,12,Quae in primo spondilo a corpore,"The one in the first segment, from the body"
558,Sco,figure,13,Quae post hanc in secundo spondilo,"The one after it, in the second segment"
559,Sco,figure,14,Borealis de binis quae in tertio spondilo sunt,The northern of the pair in the third segment
560,Sco,figure,15,Australior de binis,The more southern of the pair
561,Sco,figure,16,Quae deinceps in quarto spondilo est,"The next one, in the fourth segment"
562,Sco,figure,17,Quae post ipsam in quinto spondilo est,"The one after it, in the fifth segment"
563,Sco,figure,18,Quae deinceps in sexto spondilo,"The next, in the sixth segment"
564,Sco,figure,19,Quae in septimo spondilo juxta aculeum,"The one in the seventh segment, by the sting"
565,Sco,figure,20,Sequens de duabus quae in aculeo sunt,The following of the two in the sting
566,Sco,figure,21,Praecedens ipsarum,The preceding of them
567,Sco,unformed,1,Quae aculeum sequitur et est nebulosa,"The one following the sting, and it is nebulous"
568,Sco,unformed,2,"Praecedens duarum, quae a septentrione aculei sunt",The preceding of the two north of the sting
569,Sco,unformed,3,Sequens ipsarum,The following of them
570,Sgr,figure,1,Quae in ferro sagittae,The one in the point of the arrow
571,Sgr,figure,2,Quae in capulo sinistrae manus est,The one in the grip of the left hand
572,Sgr,figure,3,Quae in australi parte Sagittarii est,The one in the southern part of the Archer
573,Sgr,figure,4,Australior earum quae sunt in boreali parte Sagittarii,The more southern of those in the northern part of the Archer
574,Sgr,figure,5,Borealior ipsarum et in extremitate arcus,"The more northern of them, and at the tip of the bow"
575,Sgr,figure,6,Quae in humero sinistro,The one in the left shoulder
576,Sgr,figure,7,Quae hanc praecedit et est in sagitta,"The one preceding it, and it is on the arrow"
577,Sgr,figure,8,Quae in oculo est nebulosa et bina,"The one in the eye, nebulous and double"
578,Sgr,figure,9,Praecedens de tribus quae sunt in capite,The preceding of the three in the head
579,Sgr,figure,10,Media ipsarum,The middle of them
580,Sgr,figure,11,Sequens de tribus,The following of the three
581,Sgr,figure,12,"Australior de tribus, quae in boreali interscapilio sunt",The more southern of the three in the northern shoulder-cloth
582,Sgr,figure,13,Media ipsarum,The middle of them
583,Sgr,figure,14,Borealis ipsarum,The northern of them
584,Sgr,figure,15,Obscura quae tres istas sequitur,The dim one following those three
585,Sgr,figure,16,Borealior de duabus quae in australi interscapilio sunt,The more northern of the two in the southern shoulder-cloth
586,Sgr,figure,17,Australior ipsarum,The more southern of them
587,Sgr,figure,18,Quae in humero dextro,The one in the right shoulder
588,Sgr,figure,19,Quae in cubito dextro,The one in the right elbow
589,Sgr,figure,20,"De tribus quae sunt in scapula, quae prope occiput est","Of the three in the shoulder-blade, the one near the back of the head"
590,Sgr,figure,21,Media ipsarum et in ipsa latitudine scapulae,"The middle of them, in the very breadth of the shoulder-blade"
591,Sgr,figure,22,Reliqua et quasi sub axilla,"The remaining one, almost under the armpit"
592,Sgr,figure,23,Quae in anteriori sinistro talo,The one in the front left ankle
593,Sgr,figure,24,Quae in genu ejusdem pedis,The one in the knee of the same leg
594,Sgr,figure,25,Quae in anteriori dextro talo,The one in the front right ankle
595,Sgr,figure,26,Quae in crure sinistro,The one in the left shin
596,Sgr,figure,27,Quae in posteriore dextro cubito,The one in the hind right elbow
597,Sgr,figure,28,Praecedens borealis lateris de quatuor quae sunt in radice caudae,The preceding one of the northern side of the four at the root of the tail
598,Sgr,figure,29,Sequens borealis lateris,The following one of the northern side
599,Sgr,figure,30,Antecedens australis lateris,The preceding one of the southern side
600,Sgr,figure,31,Sequens australis lateris,The following one of the southern side
601,Cap,figure,1,Borealis de tribus quae sunt in sequenti cornu,The northern of the three in the following horn
602,Cap,figure,2,Media ipsarum,The middle of them
603,Cap,figure,3,Australis de tribus,The southern of the three
604,Cap,figure,4,Quae in extremitate antecedentis cornu est,The one at the tip of the preceding horn
605,Cap,figure,5,Australis de tribus quae sunt in rictu,The southern of the three in the muzzle
606,Cap,figure,6,Praecedens reliquarum duarum,The preceding of the remaining two
607,Cap,figure,7,Sequens ipsarum,The following of them
608,Cap,figure,8,Praecedens de tribus quae sunt sub oculo dextro,The preceding of the three below the right eye
609,Cap,figure,9,Borealior duarum quae sunt in collo,The more northern of the two in the neck
610,Cap,figure,10,Australior earum,The more southern of them
611,Cap,figure,11,Quae sub genu dextro,The one below the right knee
612,Cap,figure,12,Quae est in genu sinistro atque flexo,"The one in the left, bent knee"
613,Cap,figure,13,Quae in humero sinistro,The one in the left shoulder
614,Cap,figure,14,Praecedens duarum contiguarum quae sunt sub ventre,The preceding of the two close-set stars below the belly
615,Cap,figure,15,Sequens ipsarum,The following of them
616,Cap,figure,16,Sequens de tribus quae sunt in medio corpore,The following of the three in the middle of the body
617,Cap,figure,17,Australior reliquarum duarum antecedentium,"The more southern of the remaining two, preceding ones"
618,Cap,figure,18,Borealior ipsarum,The more northern of them
619,Cap,figure,19,"Antecedens duarum, quae sunt in scapula",The preceding of the two in the back
620,Cap,figure,20,Sequens ipsarum,The following of them
621,Cap,figure,21,"Antecedens duarum, quae sunt in spina australi",The preceding of the two in the southern spine
622,Cap,figure,22,Sequens ipsarum,The following of them
623,Cap,figure,23,"Antecedens duarum, quae sunt apud caudam",The preceding of the two at the tail
624,Cap,figure,24,Sequens ipsarum,The following of them
625,Cap,figure,25,"Antecedens de quatuor, quae sunt in boreali caudae parte",The preceding of the four in the northern part of the tail-fin
626,Cap,figure,26,Australis reliquarum trium,The southern of the remaining three
627,Cap,figure,27,Media ipsarum,The middle of them
628,Cap,figure,28,Borealis ipsarum,The northern of them
629,Aqr,figure,1,Quae est in capite Aquarii,The one in the head of the Water-Pourer
630,Aqr,figure,2,"Fulgentior duarum, quae sunt in humero dextro",The brighter of the two in the right shoulder
631,Aqr,figure,3,Quae sub ipsa obscurior,The dimmer one below it
632,Aqr,figure,4,Quae in humero sinistro,The one in the left shoulder
633,Aqr,figure,5,Quae sub ipsa in scapula et quasi sub axilla,"The one below it, in the shoulder-blade, almost under the armpit"
634,Aqr,figure,6,"Sequens de tribus, quae sunt in vestimento manus sinistrae",The following of the three in the drapery at the left hand
635,Aqr,figure,7,Media ipsarum,The middle of them
636,Aqr,figure,8,Antecedens de tribus,The preceding of the three
637,Aqr,figure,9,Quae in cubito dextro,The one in the right elbow
638,Aqr,figure,10,"Borealis de tribus, quae sunt in extremitate manus dextrae",The northern of the three at the tip of the right hand
639,Aqr,figure,11,Antecedens duarum reliquarum et borealium,"The preceding of the remaining two, northern ones"
640,Aqr,figure,12,Sequens ipsarum,The following of them
641,Aqr,figure,13,"Praecedens duarum contiguarum, quae sunt in dextro vertebro",The preceding of the two close-set stars in the right hip
642,Aqr,figure,14,Sequens ipsarum,The following of them
643,Aqr,figure,15,Quae in dextro clune,The one in the right buttock
644,Aqr,figure,16,Australis duarum quae sunt in sinistro clune,The southern of the two in the left buttock
645,Aqr,figure,17,Borealior ipsarum,The more northern of them
646,Aqr,figure,18,Australior duarum quae sunt in tibia dextra,The more southern of the two in the right shin
647,Aqr,figure,19,Borealior ipsarum et est sub poplite,"The more northern of them, below the knee-hollow"
648,Aqr,figure,20,Quae in posteriori sinistri cruris parte,The one at the back of the left leg
649,Aqr,figure,21,Australior duarum quae sunt in tibia sinistra,The more southern of the two in the left shin
650,Aqr,figure,22,Borealior ipsarum et est sub genu,"The more northern of them, below the knee"
651,Aqr,figure,23,Antecedens duarum quae sunt in ipso aquae fluxu à manu,The preceding of the two in the very stream of water from the hand
652,Aqr,figure,24,Quae istam ex austro sequitur,"The one following it, from the south"
653,Aqr,figure,25,Adhuc quae istam sequitur et est post flexum,"The one following it still, past the bend"
654,Aqr,figure,26,Quae istam adhuc sequitur,The one following it yet again
655,Aqr,figure,27,Quae est in flexu a meridie istius,"The one in the bend, to the south of it"
656,Aqr,figure,28,Borealior duarum quae adhuc a meridie istius sunt,The more northern of the two still further south of it
657,Aqr,figure,29,Australior ipsarum,The more southern of them
658,Aqr,figure,30,Solitaria ad meridiem istarum,The solitary one to the south of those
659,Aqr,figure,31,Antecedens duarum contiguarum post ipsam,The preceding of the two close together after it
660,Aqr,figure,32,Sequens ipsarum,The following of them
661,Aqr,figure,33,Borealis de tribus quae sunt in convolutione sequenti,The northern of the three in the following coil
662,Aqr,figure,34,Media de tribus,The middle of the three
663,Aqr,figure,35,Sequens ipsarum,The following of them
664,Aqr,figure,36,Borealis de tribus quae deinceps similiter sunt,The northern of the three in the next row likewise
665,Aqr,figure,37,Media ipsarum,The middle of them
666,Aqr,figure,38,Australior ipsis de tribus,The more southern of the three
667,Aqr,figure,39,"Praecedens de tribus, quae sunt in reliqua convolutione",The preceding of the three in the remaining coil
668,Aqr,figure,40,Australior reliquarum duarum,The more southern of the remaining two
669,Aqr,figure,41,Borealior ipsarum,The more northern of them
670,Aqr,figure,42,Aquae ipsius ultima et est in ore Piscis Austrinus,"The last star of the water itself, in the mouth of the Southern Fish"
671,Aqr,unformed,1,"Praecedens de tribus, quae flexum id est curvaturam aquae sequuntur","The preceding of the three following the bend — that is, the curve — of the water"
672,Aqr,unformed,2,Borealior reliquarum duarum,The more northern of the remaining two
673,Aqr,unformed,3,Australior ipsarum,The more southern of them
674,Psc,figure,1,Quae in antecedentis Piscis ore,The one in the mouth of the preceding Fish
675,Psc,figure,2,Australior duarum quae sunt in cranio ejus,The more southern of the two in its skull
676,Psc,figure,3,Borealior ipsarum,The more northern of them
677,Psc,figure,4,Antecedens duarum quae sunt in dorso,The preceding of the two in the back
678,Psc,figure,5,Sequens ipsarum,The following of them
679,Psc,figure,6,Antecedens duarum quae sunt in ventre,The preceding of the two in the belly
680,Psc,figure,7,Sequens ipsarum,The following of them
681,Psc,figure,8,Quae est in cauda Piscis ejusdem,The one in the tail of the same Fish
682,Psc,figure,9,Prima post caudam in lino,"The first after the tail, on the cord"
683,Psc,figure,10,Sequens ipsarum,The one following it
684,Psc,figure,11,"Antecedens de tribus splendidis, quae deinceps sunt",The preceding of the three bright ones next in order
685,Psc,figure,12,Media ipsarum,The middle of them
686,Psc,figure,13,Sequens de tribus,The following of the three
687,Psc,figure,14,"Borealior duarum parvarum, quae sub ipsis in flexu sunt","The more northern of the two small ones below them, in the bend"
688,Psc,figure,15,Australior ipsarum,The more southern of them
689,Psc,figure,16,Praecedens de tribus quae sunt post flexum,The preceding of the three after the bend
690,Psc,figure,17,Media ipsarum,The middle of them
691,Psc,figure,18,Sequens de tribus,The following of the three
692,Psc,figure,19,Quae est in nodo linorum duorum,The one at the knot of the two cords
693,Psc,figure,20,Antecedens earum quae sunt a nodo in boreali lino,The preceding of those running from the knot along the northern cord
694,Psc,figure,21,Australis de tribus quae deinceps post ipsam sunt,The southern of the three next after it
695,Psc,figure,22,Media ipsarum,The middle of them
696,Psc,figure,23,Borealis de tribus et est in extremitate caudae,"The northern of the three, at the tip of the tail"
697,Psc,figure,24,Borealior duarum quae sunt in ore piscis sequentis,The more northern of the two in the mouth of the following Fish
698,Psc,figure,25,Australior ipsarum,The more southern of them
699,Psc,figure,26,Sequens de tribus parvis quae sunt in capite,The following of the three small ones in the head
700,Psc,figure,27,Media ipsarum,The middle of them
701,Psc,figure,28,Antecedens de tribus,The preceding of the three
702,Psc,figure,29,"Praecedens de tribus quae in australi spina, post cubitum Andromedae","The preceding of the three in the southern fin, behind the elbow of Andromeda"
703,Psc,figure,30,Media ipsarum,The middle of them
704,Psc,figure,31,Sequens ipsarum,The following of them
705,Psc,figure,32,Borealior duarum quae sunt in ventre,The more northern of the two in the belly
706,Psc,figure,33,Australior ipsarum,The more southern of them
707,Psc,figure,34,Quae est in spina sequenti juxta caudam,"The one in the following fin, by the tail"
708,Psc,unformed,1,Praecedens de duabus borealibus quadrilaterae figurae quae est sub Pisce antecedente,The preceding of the two northern ones of the quadrilateral figure below the preceding Fish
709,Psc,unformed,2,Sequens earum,The following of them
710,Psc,unformed,3,Praecedens australis lateris,The preceding one of the southern side
711,Psc,unformed,4,Sequens australis lateris,The following one of the southern side
712,Cet,figure,1,Quae in extremitate naris,The one at the tip of the nostrils
713,Cet,figure,2,"Sequens de tribus quae sunt in rictu, et est in extrema maxilla","The following of the three in the muzzle, at the end of the jaw"
714,Cet,figure,3,Media ipsarum et est in ore medio,"The middle of them, in the middle of the mouth"
715,Cet,figure,4,Praecedens de tribus et est in mento,"The preceding of the three, in the chin"
716,Cet,figure,5,Quae est in supercilio et in oculo,The one at the eyebrow and the eye
717,Cet,figure,6,Borealior hac et est quasi in capillis,"The one more northern than it, almost in the hair"
718,Cet,figure,7,"Praecedens hanc, et est quasi in juba","The one preceding it, almost in the mane"
719,Cet,figure,8,Borealis antecedentis lateris quadrilaterae figurae quae est in pectore,The northern one of the preceding side of the quadrilateral figure in the chest
720,Cet,figure,9,Australis antecedentis lateris,The southern one of the preceding side
721,Cet,figure,10,Borealis sequentis lateris,The northern one of the following side
722,Cet,figure,11,Australis sequentis lateris,The southern one of the following side
723,Cet,figure,12,Media de tribus quae sunt in corpore,The middle of the three in the body
724,Cet,figure,13,Australis ipsarum,The southern of them
725,Cet,figure,14,Borealis de tribus,The northern of the three
