baily,constellation,member_type,seq,latin,english,caption
283,Sge,figure,3,Media ipsarum,The middle of them,The middle star of the shaft
284,Sge,figure,4,Praecedens de tribus,The preceding of the three,The western star of the shaft
285,Sge,figure,5,Quae in extremitate γλυφίδος sagittae,The one at the tip of the arrow's notch,The notch where the bowstring sat
286,Aql,figure,1,Quae in medio capite,The one in the middle of the head,The star in the middle of the Eagle's head
287,Aql,figure,2,Quae istam praecedit et est in collo,"The one preceding it, in the neck","The star in the neck, west of Altair"
288,Aql,figure,3,Fulgens quae in occipite et vocatur Aquila,"The brilliant one at the back of the head, called Aquila",The brilliant star called Aquila itself — Altair
289,Aql,figure,4,Quae prope hanc ad septentrionem est,"The one near it, to the north",The close companion just north of Altair
290,Aql,figure,5,Praecedens de duabus quae sunt in humero sinistro,The preceding of the two in the left shoulder,The western star of the left wing's shoulder
291,Aql,figure,6,Quae istam sequitur,The one following it,The eastern star of the left wing's shoulder
292,Aql,figure,7,Praecedens de duabus quae sunt in humero dextro,The preceding of the two in the right shoulder,The western star of the right wing's shoulder
293,Aql,figure,8,Quae hanc sequitur,The one following it,The eastern star of the right wing's shoulder
294,Aql,figure,9,Quae sub Aquilae cauda remotior est et lacteum circulum tangit,"The one far below the Eagle's tail, touching the Milky Way","The far star below the Eagle's tail, touching the Milky Way"
295,Aql,unformed,1,Praecedens de duabus quae sunt ab australi capitis parte,The preceding of the two on the southern side of the head,
296,Aql,unformed,2,Quae istam sequitur,The one following it,
297,Aql,unformed,3,Quae ab austro et africo dextri aquilae humeri est,The one south-southwest of the Eagle's right shoulder,
298,Aql,unformed,4,Quae a meridie hujus est,The one to the south of it,
299,Aql,unformed,5,Quae australior hac adhuc est,The one more southern still,
300,Aql,unformed,6,Quae cunctas praecedit,The one preceding them all,
301,Del,figure,1,Praecedens de tribus quae in cauda sunt,The preceding of the three in the tail,The western star of the three in the Dolphin's tail
302,Del,figure,2,Borealior de duabus reliquis,The more northern of the two remaining,The northern star of the tail's other two
303,Del,figure,3,Australior ipsarum,The more southern of them,The southern star of the tail's other two
304,Del,figure,4,Australis earum quae sunt in antecedente latere quadrilateri rhomboidis,The southern of those on the preceding side of the rhomboid quadrilateral,"The southern corner of the rhombus, on its western side"
305,Del,figure,5,Borealior antecedentis lateris,The more northern one of the preceding side,The northern corner of the rhombus' western side
306,Del,figure,6,Australis sequentis lateris rhombi,The southern one of the following side of the rhombus,The southern corner of the rhombus' eastern side
307,Del,figure,7,Borealis sequentis lateris,The northern one of the following side,The northern corner of the rhombus' eastern side
308,Del,figure,8,Australis de tribus quae sunt inter caudam et rhombum,The southern of the three between the tail and the rhombus,The southern star of the three between tail and rhombus
309,Del,figure,9,Praecedens de duabus reliquis borealibus,The preceding of the two remaining northern ones,The western of the two northern between-stars
310,Del,figure,10,Reliqua de ipsis et sequens,The remaining and following one of them,The eastern of the two northern between-stars
311,Equ,figure,1,Praecedens duarum quae sunt in capite,The preceding of the two in the head,The western star of the pair in the foal's head
312,Equ,figure,2,Quae ipsam sequitur,The one following it,The eastern star of the head pair
313,Equ,figure,3,Praecedens duarum quae in ore sunt,The preceding of the two in the mouth,The western star of the pair in the mouth — the muzzle's far tip
314,Equ,figure,4,Quae ipsam sequitur,The one following it,The eastern star of the mouth pair
315,Peg,figure,1,Quae in umbilico est et communis cum capite Andromedae,"The one at the navel, shared with the head of Andromeda",The navel — one star shared with the head of Andromeda
316,Peg,figure,2,Quae in lumbis et extremitate pennae,The one at the loins and the wing's tip,"The loins and the wing's tip, a corner of the Great Square"
317,Peg,figure,3,Quae in humero dextro et in ipsa pedis radice,The one at the right shoulder and the very root of the leg,"The right shoulder at the leg's root, a corner of the Great Square"
318,Peg,figure,4,Quae in occipite et humero alae,The one at the back of the head and the wing's shoulder,"The back of the head and the wing's shoulder, a corner of the Great Square"
319,Peg,figure,5,Borealior duarum quae sunt in corpore sub ala,The more northern of the two in the body beneath the wing,The northern of the two body stars beneath the wing
320,Peg,figure,6,Australior ipsarum,The more southern of them,The southern of those two
321,Peg,figure,7,Borealior duarum quae in genu dextro sunt,The more northern of the two in the right knee,The northern star of the right knee pair
322,Peg,figure,8,Australior ipsarum,The more southern of them,The southern star of the right knee pair
323,Peg,figure,9,Antecedens duarum propinquarum quae in pectore sunt,The preceding of the two close-set stars in the chest,The western of the close pair in the chest
324,Peg,figure,10,Sequens ipsarum,The following of them,The eastern of the chest pair
325,Peg,figure,11,Praecedens duarum propinquarum quae in collo sunt,The preceding of the two close-set stars in the neck,The western of the close pair in the neck
326,Peg,figure,12,Sequens ipsarum,The following of them,The eastern of the neck pair
327,Peg,figure,13,Australior duarum quae in juba sunt,The more southern of the two in the mane,The southern star of the mane
328,Peg,figure,14,Borealior ipsarum,The more northern of them,The northern star of the mane
329,Peg,figure,15,Borealior duarum propinquarum quae in capite sunt,The more northern of the two close-set stars in the head,The northern of the close pair in the head
330,Peg,figure,16,Australior ipsarum,The more southern of them,The southern of the head pair
331,Peg,figure,17,Quae in rictu est,The one in the muzzle,The single star in the muzzle — Enif
332,Peg,figure,18,Quae in dextro talo,The one in the right ankle,The right ankle
333,Peg,figure,19,Quae in genu sinistro,The one in the left knee,"The left knee, raised before the neck"
334,Peg,figure,20,Quae in talo sinistro,The one in the left ankle,The left ankle
335,And,figure,1,Quae in occipite,The one at the back of the head,The back of the Princess' head — the star she shares with Pegasus
336,And,figure,2,Quae in humero dextro,The one in the right shoulder,Her right shoulder
337,And,figure,3,Quae in humero sinistro,The one in the left shoulder,Her left shoulder
338,And,figure,4,Australis de tribus quae sunt in dextro brachio,The southern of the three in the right arm,The southern star of the three in the right arm
339,And,figure,5,Borealior ipsarum,The more northern of them,The northern star of the right-arm trio
340,And,figure,6,Media de tribus,The middle of the three,The middle star of the right-arm trio
341,And,figure,7,Australis de tribus quae sunt in extremitate manus dextrae,The southern of the three at the tip of the right hand,The southern star of the three at the right hand's tip
342,And,figure,8,Media ipsarum,The middle of them,The middle star of the right hand
343,And,figure,9,Borealis de tribus,The northern of the three,The northern star of the right hand
344,And,figure,10,Quae in brachio sinistro,The one in the left arm,The star in the left arm
345,And,figure,11,Quae in cubito sinistro,The one in the left elbow,The left elbow
346,And,figure,12,Australior de tribus quae sunt supra cingulum,The more southern of the three above the girdle,The southern star of the girdle's three — Mirach
347,And,figure,13,Media ipsarum,The middle of them,The middle star of the girdle
348,And,figure,14,Borealis de tribus,The northern of the three,The northern star of the girdle
349,And,figure,15,Quae supra pedem sinistrum,The one above the left foot,The star above the left foot
350,And,figure,16,Quae in pede dextro,The one in the right foot,The right foot
351,And,figure,17,Australior hac,The one more southern than it,The toe just south of the right foot
352,And,figure,18,Borealior duarum quae sunt in poplite sinistro,The more northern of the two at the left hollow of the knee,The northern star at the hollow of the left knee
353,And,figure,19,Australior ipsarum,The more southern of them,The southern star at that knee-hollow
354,And,figure,20,Quae in genu dextro,The one in the right knee,The right knee
355,And,figure,21,Borealior duarum quae sunt in syrmate,The more northern of the two in the train of the robe,The northern of the two stars in the robe's train
356,And,figure,22,Australior ipsarum,The more southern of them,The southern of the train pair
357,And,figure,23,Exterior praecedensque de tribus quae sunt in extremitate manus dextrae,The outer and preceding one of the three at the tip of the right hand,The outer star west of the right hand's tip — the chain's far reach
358,Tri,figure,1,Quae in vertice trianguli est,The one at the apex of the triangle,The apex of the Triangle
359,Tri,figure,2,Praecedens de tribus quae sunt in basi,The preceding of the three in the base,The western star of the three in the base
360,Tri,figure,3,Media ipsarum,The middle of them,The middle star of the base
361,Tri,figure,4,Sequens de tribus,The following of the three,The eastern star of the base
362,Ari,figure,1,Praecedens duarum quae sunt in cornu,The preceding of the two in the horn,The western star of the pair in the horn
363,Ari,figure,2,Sequens ipsarum,The following of them,The eastern star of the horn pair — Hamal
364,Ari,figure,3,Borealior duarum quae in rictu sunt,The more northern of the two in the muzzle,The northern star of the pair in the turned-back muzzle
365,Ari,figure,4,Australior ipsarum,The more southern of them,The southern star of the muzzle pair
366,Ari,figure,5,Quae in collo est,The one in the neck,"The star in the Ram's neck, below the horns"
367,Ari,figure,6,Quae in lumbo est,The one in the loin,The star in the loin
368,Ari,figure,7,Quae in radice caudae,The one at the root of the tail,The root of the tail
369,Ari,figure,8,Praecedens de tribus quae in cauda sunt,The preceding of the three in the tail,The western star of the three in the tail
370,Ari,figure,9,Media de tribus,The middle of the three,The middle star of the tail
371,Ari,figure,10,Sequens ipsarum,The following of them,The eastern star of the tail
372,Ari,figure,11,Quae in posteriore parte cruris est,The one in the hind part of the leg,The hind part of the folded leg
373,Ari,figure,12,Quae sub poplite,The one below the hollow of the knee,Below the hollow of the hind knee
374,Ari,figure,13,Quae in extremitate posterioris pedis,The one at the tip of the hind foot,The tip of the hind foot
375,Ari,unformed,1,Quae supra caput est quam Hipparchus in collo dicit,"The one above the head, which Hipparchus places in the neck",
376,Ari,unformed,2,Sequens fulgentiorque de quatuor quae supra lumbos sunt,The following and brighter of the four above the loins,
377,Ari,unformed,3,Borealior reliquarum trium minusque splendidarum,"The more northern of the remaining three, fainter ones",
378,Ari,unformed,4,Media de tribus,The middle of the three,
379,Ari,unformed,5,Australis ipsarum,The southern of them,
380,Tau,figure,1,Borealis de quatuor quae sunt in abscissione,The northern of the four at the cut-off,"The northern star of the four at the cut-off, where the half-figure ends"
381,Tau,figure,2,Sequens ipsam,The one following it,Second star down the cut-off line
382,Tau,figure,3,Quae istam adhuc sequitur,The one following it still,Third star down the cut-off line
383,Tau,figure,4,Australissima de quatuor,The southernmost of the four,The southernmost star of the cut-off
384,Tau,figure,5,Quae istas sequitur et est in dextra scapula,"The one following these, in the right shoulder-blade","The right shoulder-blade, east of the cut"
385,Tau,figure,6,Quae in pectore,The one in the chest,The star in the Bull's chest
386,Tau,figure,7,Quae in genu dextro,The one in the right knee,The right knee
387,Tau,figure,8,Quae in talo dextro,The one in the right ankle,The right ankle
388,Tau,figure,9,Quae in genu sinistro,The one in the left knee,"The left knee, folded above the elbow"
389,Tau,figure,10,Quae in cubito sinistro,The one in the left elbow,The left elbow
390,Tau,figure,11,"De Hyades, sic enim vocantur quae in facie sunt, ea quae in naribus",Of the Hyades — for so are called those in the face — the one in the nostrils,"The Hyad in the nostrils, at the point of the V"
391,Tau,figure,12,Quae inter hanc et borealem oculum est,The one between it and the northern eye,The Hyad between the nostrils and the northern eye
392,Tau,figure,13,Quae inter istam et australem oculum,The one between it and the southern eye,The Hyad between the nostrils and the southern eye
393,Tau,figure,14,"Fulgens de Hyades, et est in oculo australi subrufa","The bright one of the Hyades, in the southern eye, reddish","The bright Hyad in the southern eye, reddish — Aldebaran"
394,Tau,figure,15,Reliqua quae est in oculo boreali,"The remaining one, in the northern eye",The Hyad in the northern eye
395,Tau,figure,16,Quae est in radice australis cornu et in aure,"The one at the root of the southern horn, and in the ear","The root of the southern horn, at the ear"
396,Tau,figure,17,Australior duarum quae sunt in cornu australi,The more southern of the two in the southern horn,The southern of the two stars along the southern horn
397,Tau,figure,18,Borealior ipsarum,The more northern of them,The northern of those two
398,Tau,figure,19,Quae est in extremitate cornu australis,The one at the tip of the southern horn,The tip of the southern horn
399,Tau,figure,20,Quae est in radice cornu borealis,The one at the root of the northern horn,The root of the northern horn
400,Tau,figure,21,"Quae est in extremitate borealis cornu, eademque in dextro pede Aurigae","The one at the tip of the northern horn, the same as the one in Auriga's right foot",The tip of the northern horn — one star shared with Auriga's right foot
401,Tau,figure,22,Borealior duarum propinquarum quae sunt in aure boreali,The more northern of the two close-set stars in the northern ear,The northern of the close pair in the northern ear
402,Tau,figure,23,Australior ipsarum,The more southern of them,The southern of that ear pair
403,Tau,figure,24,Praecedens duarum parvarum quae in collo sunt,The preceding of the two small stars in the neck,The western of the two small stars in the neck
404,Tau,figure,25,Quae ipsam sequitur,The one following it,The eastern of the neck's small pair
405,Tau,figure,26,Australior antecedentis lateris quadrilaterae figurae quae in collo est,The more southern one of the preceding side of the quadrilateral figure in the neck,The southern corner of the neck quadrilateral's western side
406,Tau,figure,27,Borealior antecedentis lateris,The more northern one of the preceding side,The northern corner of its western side
407,Tau,figure,28,Australior sequentis lateris,The more southern one of the following side,The southern corner of its eastern side
408,Tau,figure,29,Borealior sequentis lateris,The more northern one of the following side,The northern corner of its eastern side
409,Tau,figure,30,Borealis terminus antecedentis Pleiadum lateris,The northern end of the preceding side of the Pleiades,The northern end of the Pleiades' western side
410,Tau,figure,31,Australis terminus antecedentis lateris,The southern end of the preceding side,The southern end of the Pleiades' western side
411,Tau,figure,32,Sequens et angustissimus Pleiadum terminus,The following and narrowest end of the Pleiades,The narrow eastern end of the Pleiades
412,Tau,figure,33,Exterior et parva Pleiadum a septentrione,"The small outer one of the Pleiades, to the north","The small outer Pleiad, to the north"
413,Tau,unformed,1,Quae sub pede dextro est et scapula,The one below the right foot and the shoulder-blade,
414,Tau,unformed,2,Praecedens de tribus quae supra cornu australe,The preceding of the three above the southern horn,
415,Tau,unformed,3,Media de tribus,The middle of the three,
416,Tau,unformed,4,Sequens ipsarum,The following of them,
417,Tau,unformed,5,Borealior de duabus quae sunt sub extremitate cornu australis,The more northern of the two below the tip of the southern horn,
418,Tau,unformed,6,Australior ipsarum,The more southern of them,
419,Tau,unformed,7,Praecedens de quinque quae sub cornu boreali sequuntur,The preceding of the five that follow below the northern horn,
420,Tau,unformed,8,Quae istam sequitur,The one following it,
421,Tau,unformed,9,Quae istam adhuc sequitur,The one following it still,
422,Tau,unformed,10,Borealior reliquarum duarum sequentium,The more northern of the remaining two followers,
423,Tau,unformed,11,Australior ipsarum,The more southern of them,
424,Gem,figure,1,Quae est in capite praecedentis Geminorum,The one in the head of the preceding Twin,The head of the western Twin — Castor
425,Gem,figure,2,"Quae est in capite sequentis Geminorum, subrufa","The one in the head of the following Twin, reddish","The head of the eastern Twin, reddish — Pollux"
426,Gem,figure,3,Quae est in sinistro praecedentis Geminorum cubito,The one in the left elbow of the preceding Twin,The western Twin's left elbow
427,Gem,figure,4,Quae in eodem brachio,The one in the same arm,The star in the same left arm
428,Gem,figure,5,Quae ipsam sequitur et est in occipite,"The one following it, at the back of the head",The back of the western Twin's head
429,Gem,figure,6,Quae istam sequitur et est in dextro humero ejusdem,"The one following it, in the right shoulder of the same Twin",The western Twin's right shoulder
430,Gem,figure,7,Quae in humero sequenti sequentis Geminorum,The one in the following shoulder of the following Twin,The eastern Twin's outer shoulder
431,Gem,figure,8,Quae in dextro latere antecedentis Geminorum,The one in the right side of the preceding Twin,The western Twin's right side
432,Gem,figure,9,Quae in sinistro latere sequentis Geminorum,The one in the left side of the following Twin,The eastern Twin's left side
433,Gem,figure,10,Quae in sinistro genu praecedentis Geminorum,The one in the left knee of the preceding Twin,The western Twin's left knee
434,Gem,figure,11,Quae sub sinistro genu sequentis Geminorum,The one below the left knee of the following Twin,Below the eastern Twin's left knee
435,Gem,figure,12,Quae in sinistra sequentis Geminorum axilla,The one in the left armpit of the following Twin,The eastern Twin's left armpit
436,Gem,figure,13,Quae supra dextrum poplitem ejusdem Geminorum,The one above the right knee-hollow of the same Twin,Above the eastern Twin's right knee-hollow
437,Gem,figure,14,Quae in extremo pede praecedentis Geminorum,The one in the far foot of the preceding Twin,The western star in the western Twin's far foot
438,Gem,figure,15,Quae hanc in eodem pede sequitur,"The one following it, in the same foot",The eastern star in that same foot
439,Gem,figure,16,Quae in extremitate dextri pedis praecedentis Geminorum,The one at the tip of the right foot of the preceding Twin,The tip of the western Twin's right foot
440,Gem,figure,17,Quae in extremitate sinistri pedis sequentis Geminorum,The one at the tip of the left foot of the following Twin,The tip of the eastern Twin's left foot — Alhena
441,Gem,figure,18,Quae in extremitate dextri pedis sequentis Geminorum,The one at the tip of the right foot of the following Twin,The tip of the eastern Twin's right foot
442,Gem,unformed,1,Praecedens extremitatem pedum antecedentis Geminorum,The one preceding the foot-tips of the preceding Twin,
443,Gem,unformed,2,Praecedens eam quae est in genu antecedentis Geminorum et est splendida,The bright one preceding the knee of the preceding Twin,
444,Gem,unformed,3,Quae praecedit genu sinistrum sequentis Geminorum,The one preceding the left knee of the following Twin,
445,Gem,unformed,4,Borealis trium sequentium dextram sequentis Geminorum per rectam lineam,The northern of the three in a straight line following the right hand of the following Twin,
446,Gem,unformed,5,Media de tribus,The middle of the three,
447,Gem,unformed,6,Australis ipsarum et ad cubitum manus,"The southern of them, at the elbow of the hand",
448,Gem,unformed,7,Quae dictas tres sequitur et est splendida,The bright one following the said three,
449,Cnc,figure,1,Media nubiformis convolutionis quae in pectore dicta Praesepe,"The middle of the cloud-like convolution in the chest, called the Manger",The Manger — the cloud in the Crab's chest that is the Beehive cluster
450,Cnc,figure,2,"Borealior duarum praecedentium quadrilaterae figurae, quae est in nebula","The more northern of the two preceding stars of the quadrilateral, at the nebula","The northwest corner of the body, at the nebula's edge"
451,Cnc,figure,3,Australior praecedentium duarum,The more southern of the preceding two,The southwest corner of the body
452,Cnc,figure,4,Borealis duarum sequentium quadrilaterae quae vocantur Aselli,"The northern of the two following stars of the quadrilateral, which are called the Asses","The northeast corner — the northern Ass, feeding at the Manger"
453,Cnc,figure,5,Australis ipsarum,The southern of them,The southeast corner — the southern Ass
454,Cnc,figure,6,Quae in australi forfice,The one in the southern claw,The tip of the southern claw
455,Cnc,figure,7,Quae in boreali forfice,The one in the northern claw,The tip of the northern claw
456,Cnc,figure,8,Quae in posteriore pede boreali,The one in the northern hind foot,The northern hind foot
457,Cnc,figure,9,Quae in posteriore pede australi,The one in the southern hind foot,The southern hind foot
458,Cnc,unformed,1,Quae super cubitum australis forficis est,The one above the elbow of the southern claw,
459,Cnc,unformed,2,Quae sequitur extremitatem australis forficis,The one following the tip of the southern claw,
460,Cnc,unformed,3,Praecedens duarum sequentium quae sunt super nebulam,The preceding of the two following stars above the nebula,
461,Cnc,unformed,4,Sequens ipsarum,The following of them,
462,Leo,figure,1,Quae in extremitate naris,The one at the tip of the nostrils,The tip of the Lion's nostrils
463,Leo,figure,2,Quae in apertione oris,The one at the opening of the mouth,The opening of the mouth
464,Leo,figure,3,Borealior duarum quae sunt in capite,The more northern of the two in the head,The northern star of the pair in the head
465,Leo,figure,4,Australior ipsarum,The more southern of them,The southern star of the head pair
466,Leo,figure,5,Borealis de tribus quae in collo sunt,The northern of the three in the neck,The northern star of the three in the neck
467,Leo,figure,6,Sequens et media de tribus,The following and middle of the three,"The middle star of the neck, on its eastern edge"
468,Leo,figure,7,Australis ipsarum,The southern of them,"The southern star of the neck, bending to the heart"
469,Leo,figure,8,Quae est in corde et vocatur Regulus,"The one in the heart, called Regulus","The Lion's heart — Regulus, the little king"
470,Leo,figure,9,Australior ipsa et est quasi in pectore,"The one more southern than it, almost in the chest","Just south of the heart, almost in the chest"
471,Leo,figure,10,Parum antecedens illam quae in corde est,The one a little ahead of the one in the heart,The star a little west of the heart
472,Leo,figure,11,Quae in genu dextro,The one in the right knee,The right knee
473,Leo,figure,12,Quae in anteriore dextrae vola,The one in the forward right paw,The forward right paw
474,Leo,figure,13,Quae in anteriore sinistrae vola,The one in the forward left paw,The forward left paw
475,Leo,figure,14,Quae in genu sinistro,The one in the left knee,The left knee
476,Leo,figure,15,Quae in axilla sinistra,The one in the left armpit,The left armpit
477,Leo,figure,16,Praecedens de tribus quae sunt in ventre,The preceding of the three in the belly,The western star of the three in the belly
478,Leo,figure,17,Borealis reliquarum et sequentium duarum,"The northern of the remaining, following two",The northern of the belly's eastern two
479,Leo,figure,18,Australior ipsarum,The more southern of them,The southern of the belly's eastern two
480,Leo,figure,19,Praecedens de duabus quae sunt in lumbis,The preceding of the two in the loins,The western star of the pair in the loins
481,Leo,figure,20,Sequens ipsarum,The following of them,The eastern star of the loins
482,Leo,figure,21,Borealior duarum quae sunt in vertebris,The more northern of the two in the rump,The northern star of the rump pair
483,Leo,figure,22,Australior ipsarum,The more southern of them,The southern star of the rump pair
484,Leo,figure,23,Quae in posterioribus cruribus,The one in the hind legs,The star standing for the hind legs
485,Leo,figure,24,Quae in posterioribus poplitibus,The one in the hind knee-hollows,The hind knee-hollows
486,Leo,figure,25,Australior hac et quasi in cubitis,"The one more southern than it, almost at the shanks","Lower still, at the shanks"
487,Leo,figure,26,Quae in posterioribus volis,The one in the hind paws,The hind paws
488,Leo,figure,27,Quae in extremitate caudae,The one at the tip of the tail,The tip of the Lion's tail — Denebola
489,Leo,unformed,1,Praecedens de duabus quae sunt super scapulam,The preceding of the two above the shoulder-blade,
490,Leo,unformed,2,Sequens ipsarum,The following of them,
491,Leo,unformed,3,"Borealis de tribus, quae sunt sub latere",The northern of the three below the flank,
492,Leo,unformed,4,Media ipsarum,The middle of them,
493,Leo,unformed,5,Australis ipsarum,The southern of them,
494,Leo,unformed,6,"Borealissimum convolutionis nubilosae quae Coma Berenices vocatur, et est inter extrema Leonis et Ursae","The northernmost of the nebulous cluster called Berenice's Hair, between the edges of Leo and the Bear",
495,Leo,unformed,7,Praecedens de australibus eminentibus Comae Berenices,The preceding of the southern outliers of Berenice's Hair,
496,Leo,unformed,8,Sequens de ipsis in figura folii edere,"The following of them, in the shape of an ivy leaf",
497,Vir,figure,1,Australis de duabus quae sunt in extremo craneo Virginis,The southern of the two at the crown of the Virgin's head,The southern star of the pair at the crown of the Maiden's head
498,Vir,figure,2,Borealior ipsarum,The more northern of them,The northern star of the crown pair
499,Vir,figure,3,Borealior de sequentibus ipsas in facie,"The more northern of those following them, in the face",The northern star of the pair in the face
500,Vir,figure,4,Australior ipsarum,The more southern of them,The southern star of the face pair
501,Vir,figure,5,Quae est in extremitate australis alae atque sinistrae,"The one at the tip of the southern, left wing",The tip of the southern wing
502,Vir,figure,6,"Praecedens de quatuor, quae sunt in ala sinistra",The preceding of the four in the left wing,"The first of the four along the southern wing, westernmost"
503,Vir,figure,7,Quae ipsam sequitur,The one following it,The second star along the southern wing
504,Vir,figure,8,Quae adhuc istam sequitur,The one following it still,The third star along the southern wing
505,Vir,figure,9,Ultima et sequens de quatuor,The last and following of the four,"The last of the four, at the wing's eastern end"
506,Vir,figure,10,Quae est sub cingulo in dextro latere,"The one below the girdle, in the right side","Below the girdle, in the right side"
507,Vir,figure,11,Praecedens de tribus quae in dextra borealique ala sunt,"The preceding of the three in the right, northern wing",The western star of the northern wing's three
508,Vir,figure,12,Australis reliquarum duarum,The southern of the remaining two,The southern of the northern wing's other two
509,Vir,figure,13,Borealis ipsarum et vocatur Previndemiatrix,"The northern of them, called Previndemiatrix","The herald of the vintage — Previndemiatrix, on the northern wing"
510,Vir,figure,14,Quae in extremitate manus sinistrae et vocatur Spica,"The one at the tip of the left hand, called Spica",The ear of wheat in the left hand — Spica
511,Vir,figure,15,Quae sub cingulo juxta dextrum vertebrum,"The one below the girdle, by the right hip","Below the girdle, by the right hip"
512,Vir,figure,16,Borealis antecedentis lateris quadrilaterae figurae quae est in crure sinistro,The northern one of the preceding side of the quadrilateral figure in the left leg,The northwest star of the four in the left leg
513,Vir,figure,17,Australis antecedentis lateris,The southern one of the preceding side,The southwest star of the left-leg four
514,Vir,figure,18,"Borealior de duabus, quae in sequenti latere sunt",The more northern of the two on the following side,The northeast star of the left-leg four
515,Vir,figure,19,Australior lateris sequentis,The more southern one of the following side,The southeast star of the left-leg four
516,Vir,figure,20,Quae in genu sinistro,The one in the left knee,The left knee
517,Vir,figure,21,Quae in dextro crure posteriore,The one in the right hind leg,The star in the right hind leg
518,Vir,figure,22,Media de tribus quae sunt in syrmate,The middle of the three in the train of the robe,The middle star of the three in the robe's train
519,Vir,figure,23,Australis ipsarum,The southern of them,The southern star of the train
520,Vir,figure,24,Borealis ipsarum,The northern of them,The northern star of the train
521,Vir,figure,25,Quae in extremitate sinistri pedis atque australis,"The one at the tip of the left, southern foot","The tip of the southern, left foot"
522,Vir,figure,26,Quae in extremitate dextri pedis atque borealis,"The one at the tip of the right, northern foot","The tip of the northern, right foot"
523,Vir,unformed,1,Praecedens de tribus quae ad rectam lineam sub sinistro cubito sunt,The preceding of the three in a straight line below the left elbow,
524,Vir,unformed,2,Media ipsarum,The middle of them,
525,Vir,unformed,3,Sequens ipsarum,The following of them,
526,Vir,unformed,4,Praecedens de tribus quae quasi ad rectam lineam sub Spica sunt,The preceding of the three almost in a straight line below Spica,
527,Vir,unformed,5,Media ipsarum et duplex,"The middle of them, and it is double",
528,Vir,unformed,6,Sequens trium,The following of the three,
529,Lib,figure,1,Fulgens earum quae sunt in extremitate australis forficis,The bright one of those at the tip of the southern claw,The bright tip of the southern claw — Zubenelgenubi
530,Lib,figure,2,Borealior ipsa et minus splendida,"The one more northern than it, and less brilliant",The dimmer star just north of the southern tip
531,Lib,figure,3,Fulgens earum quae sunt in extremitate borealis forficis,The bright one of those at the tip of the northern claw,The bright tip of the northern claw — Zubeneschamali
532,Lib,figure,4,Praecedens ipsas et obscura,"The one preceding them, and dim",The dim star west of the northern tip
533,Lib,figure,5,Quae est in medio australis forficis,The one in the middle of the southern claw,The middle of the southern claw
534,Lib,figure,6,Quae istam praecedit in eadem forfice,The one preceding it in the same claw,The star west of the southern claw's middle
535,Lib,figure,7,Quae est in medio borealis forficis,The one in the middle of the northern claw,The middle of the northern claw
536,Lib,figure,8,Quae istam in eadem forfice sequitur,The one following it in the same claw,The star east of the northern claw's middle
537,Lib,unformed,1,Antecedens de tribus borealibus quae sunt in forfice boreali,The preceding of the three northern ones at the northern claw,
538,Lib,unformed,2,Australis sequentium duarum,The southern of the following two,
539,Lib,unformed,3,Borealis ipsarum,The northern of them,
540,Lib,unformed,4,Sequens de tribus intermediis,The following of the three in between,
541,Lib,unformed,5,Borealis reliquarum duarum praecedentium,The northern of the remaining two preceding ones,
542,Lib,unformed,6,Australis ipsarum,The southern of them,
543,Lib,unformed,7,"Praecedens de tribus australioribus, quae sunt in forfice australi","The preceding of the three more southern ones, at the southern claw",
544,Lib,unformed,8,Borealior duarum reliquarum sequentium,The more northern of the remaining two followers,
545,Lib,unformed,9,Australior ipsarum,The more southern of them,
546,Sco,figure,1,"Borealis de tribus splendidis, quae sunt in fronte",The northern of the three bright ones in the brow,The northern of the three bright stars in the Scorpion's brow
547,Sco,figure,2,Media ipsarum,The middle of them,The middle star of the brow — Dschubba
548,Sco,figure,3,Australior de tribus,The more southern of the three,The southern star of the brow
549,Sco,figure,4,Australior adhuc ista in altero pedum,"The one more southern still, in one of the feet","Further south still, in one of the forefeet"
550,Sco,figure,5,"Borealior duarum, quae borealissimae splendidarum adhaeret",The more northern of the two adjoining the northernmost of the bright ones,The northern of the close pair beside the brow's northern star
551,Sco,figure,6,Australis ipsarum,The southern of them,The southern of that close pair
552,Sco,figure,7,"Praecedens de tribus splendidis, quae sunt in corpore",The preceding of the three bright ones in the body,The western of the three bright stars in the body
553,Sco,figure,8,Media ipsarum et subrufa quae vocatur Antares,"The middle of them, reddish, which is called Antares","The Scorpion's heart, reddish — Antares"
554,Sco,figure,9,Sequens de tribus,The following of the three,The eastern of the body's bright three
555,Sco,figure,10,Praecedens duarum quae sub ipsis in extremo pede sunt,"The preceding of the two below them, at the end of the foot","The western star of the pair below the body, at the foot's end"
556,Sco,figure,11,Sequens ipsarum,The following of them,The eastern star of that under-foot pair
557,Sco,figure,12,Quae in primo spondilo a corpore,"The one in the first segment, from the body","The first segment of the tail, counting from the body"
558,Sco,figure,13,Quae post hanc in secundo spondilo,"The one after it, in the second segment",The second segment of the tail
559,Sco,figure,14,Borealis de binis quae in tertio spondilo sunt,The northern of the pair in the third segment,The northern star of the third segment's pair
560,Sco,figure,15,Australior de binis,The more southern of the pair,The southern star of the third segment's pair
561,Sco,figure,16,Quae deinceps in quarto spondilo est,"The next one, in the fourth segment",The fourth segment of the tail
562,Sco,figure,17,Quae post ipsam in quinto spondilo est,"The one after it, in the fifth segment",The fifth segment of the tail
